YEAR,STATE,RATE,DEATHS,URL
2020,Alabama,23.6,1450,/nchs/pressroom/states/alabama/al.htm
2020,Alaska,24.8,174,/nchs/pressroom/states/alaska/ak.htm
2020,Arizona,26.5,2566,/nchs/pressroom/states/arizona/az.htm
2020,Arkansas,33.8,1306,/nchs/pressroom/states/arkansas/ar.htm
2020,California,25.4,11642,/nchs/pressroom/states/california/ca.htm
2020,Colorado,18,1168,/nchs/pressroom/states/colorado/co.htm
2020,Connecticut,17.5,861,/nchs/pressroom/states/connecticut/ct.htm
2020,Delaware,23.8,326,/nchs/pressroom/states/delaware/de.htm
2020,Florida,22.8,7528,/nchs/pressroom/states/florida/fl.htm
2020,Georgia,23.9,2833,/nchs/pressroom/states/georgia/ga.htm
2020,Hawaii,17,339,/nchs/pressroom/states/hawaii/hi.htm
2020,Idaho,22.7,488,/nchs/pressroom/states/idaho/id.htm
2020,Illinois,22.2,3485,/nchs/pressroom/states/illinois/il.htm
2020,Indiana,29.6,2446,/nchs/pressroom/states/indiana/in.htm
2020,Iowa,24.7,1047,/nchs/pressroom/states/iowa/ia.htm
2020,Kansas,28.5,1041,/nchs/pressroom/states/kansas/ks.htm
2020,Kentucky,27.7,1549,/nchs/pressroom/states/kentucky/ky.htm
2020,Louisiana,33.1,1843,/nchs/pressroom/states/louisiana/la.htm
2020,Maine,23.9,501,/nchs/pressroom/states/maine/me.htm
2020,Maryland,23.9,1784,/nchs/pressroom/states/maryland/md.htm
2020,Massachusetts,17.2,1557,/nchs/pressroom/states/massachusetts/ma.htm
2020,Michigan,26,3399,/nchs/pressroom/states/michigan/mi.htm
2020,Minnesota,21,1493,/nchs/pressroom/states/minnesota/mn.htm
2020,Mississippi,41,1460,/nchs/pressroom/states/mississippi/ms.htm
2020,Missouri,23.1,1844,/nchs/pressroom/states/missouri/mo.htm
2020,Montana,23.5,342,/nchs/pressroom/states/montana/mt.htm
2020,Nebraska,26.2,624,/nchs/pressroom/states/nebraska/ne.htm
2020,Nevada,24.2,904,/nchs/pressroom/states/nevada/nv.htm
2020,New Hampshire,19.2,364,/nchs/pressroom/states/newhampshire/nh.htm
2020,New Jersey,21.2,2443,/nchs/pressroom/states/newjersey/nj.htm
2020,New Mexico,29.3,793,/nchs/pressroom/states/newmexico/nm.htm
2020,New York,21.2,5410,/nchs/pressroom/states/newyork/ny.htm
2020,North Carolina,26.9,3554,/nchs/pressroom/states/northcarolina/nc.htm
2020,North Dakota,24.3,225,/nchs/pressroom/states/northdakota/nd.htm
2020,Ohio,28.3,4382,/nchs/pressroom/states/ohio/oh.htm
2020,Oklahoma,32.8,1552,/nchs/pressroom/states/oklahoma/ok.htm
2020,Oregon,24.5,1364,/nchs/pressroom/states/oregon/or.htm
2020,Pennsylvania,23.6,4250,/nchs/pressroom/states/pennsylvania/pa.htm
2020,Rhode Island,23.2,331,/nchs/pressroom/states/rhodeisland/ri.htm
2020,South Carolina,28.5,1943,/nchs/pressroom/states/southcarolina/sc.htm
2020,South Dakota,29.2,329,/nchs/pressroom/states/southdakota/sd.htm
2020,Tennessee,30.1,2590,/nchs/pressroom/states/tennessee/tn.htm
2020,Texas,26.7,7990,/nchs/pressroom/states/texas/tx.htm
2020,Utah,27.3,778,/nchs/pressroom/states/utah/ut.htm
2020,Vermont,17.5,153,/nchs/pressroom/states/vermont/vt.htm
2020,Virginia,24.7,2585,/nchs/pressroom/states/virginia/va.htm
2020,Washington,22.7,2072,/nchs/pressroom/states/washington/wa.htm
2020,West Virginia,41.3,1075,/nchs/pressroom/states/westvirginia/wv.htm
2020,Wisconsin,22,1684,/nchs/pressroom/states/wisconsin/wi.htm
2020,Wyoming,20.7,148,/nchs/pressroom/states/wyoming/wy.htm
2019,Alabama,19.8,1224,/nchs/pressroom/states/alabama/al.htm
2019,Alaska,16.2,111,/nchs/pressroom/states/alaska/ak.htm
2019,Arizona,23.4,2173,/nchs/pressroom/states/arizona/az.htm
2019,Arkansas,29.8,1144,/nchs/pressroom/states/arkansas/ar.htm
2019,California,21.8,9854,/nchs/pressroom/states/california/ca.htm
2019,Colorado,16.4,1046,/nchs/pressroom/states/colorado/co.htm
2019,Connecticut,15.6,761,/nchs/pressroom/states/connecticut/ct.htm
2019,Delaware,20.5,267,/nchs/pressroom/states/delaware/de.htm
2019,Florida,19.3,6174,/nchs/pressroom/states/florida/fl.htm
2019,Georgia,20.5,2375,/nchs/pressroom/states/georgia/ga.htm
2019,Hawaii,15.8,311,/nchs/pressroom/states/hawaii/hi.htm
2019,Idaho,20.2,422,/nchs/pressroom/states/idaho/id.htm
2019,Illinois,18.1,2825,/nchs/pressroom/states/illinois/il.htm
2019,Indiana,25,2045,/nchs/pressroom/states/indiana/in.htm
2019,Iowa,20.2,861,/nchs/pressroom/states/iowa/ia.htm
2019,Kansas,24.4,884,/nchs/pressroom/states/kansas/ks.htm
2019,Kentucky,29.1,1611,/nchs/pressroom/states/kentucky/ky.htm
2019,Louisiana,26.5,1458,/nchs/pressroom/states/louisiana/la.htm
2019,Maine,23.6,477,/nchs/pressroom/states/maine/me.htm
2019,Maryland,20.5,1514,/nchs/pressroom/states/maryland/md.htm
2019,Massachusetts,15.3,1383,/nchs/pressroom/states/massachusetts/ma.htm
2019,Michigan,22.2,2916,/nchs/pressroom/states/michigan/mi.htm
2019,Minnesota,19.8,1404,/nchs/pressroom/states/minnesota/mn.htm
2019,Mississippi,32.5,1159,/nchs/pressroom/states/mississippi/ms.htm
2019,Missouri,20.9,1658,/nchs/pressroom/states/missouri/mo.htm
2019,Montana,20,282,/nchs/pressroom/states/montana/mt.htm
2019,Nebraska,23,540,/nchs/pressroom/states/nebraska/ne.htm
2019,Nevada,23.1,836,/nchs/pressroom/states/nevada/nv.htm
2019,New Hampshire,19.3,363,/nchs/pressroom/states/newhampshire/nh.htm
2019,New Jersey,16.7,1934,/nchs/pressroom/states/newjersey/nj.htm
2019,New Mexico,25.4,673,/nchs/pressroom/states/newmexico/nm.htm
2019,New York,18,4564,/nchs/pressroom/states/newyork/ny.htm
2019,North Carolina,24.1,3124,/nchs/pressroom/states/northcarolina/nc.htm
2019,North Dakota,20,183,/nchs/pressroom/states/northdakota/nd.htm
2019,Ohio,25.4,3873,/nchs/pressroom/states/ohio/oh.htm
2019,Oklahoma,28,1306,/nchs/pressroom/states/oklahoma/ok.htm
2019,Oregon,22.9,1266,/nchs/pressroom/states/oregon/or.htm
2019,Pennsylvania,20.4,3654,/nchs/pressroom/states/pennsylvania/pa.htm
2019,Rhode Island,18.3,265,/nchs/pressroom/states/rhodeisland/ri.htm
2019,South Carolina,24.4,1610,/nchs/pressroom/states/southcarolina/sc.htm
2019,South Dakota,26.8,287,/nchs/pressroom/states/southdakota/sd.htm
2019,Tennessee,25.9,2161,/nchs/pressroom/states/tennessee/tn.htm
2019,Texas,23.6,6889,/nchs/pressroom/states/texas/tx.htm
2019,Utah,25,692,/nchs/pressroom/states/utah/ut.htm
2019,Vermont,15.5,136,/nchs/pressroom/states/vermont/vt.htm
2019,Virginia,22.8,2350,/nchs/pressroom/states/virginia/va.htm
2019,Washington,20.5,1842,/nchs/pressroom/states/washington/wa.htm
2019,West Virginia,36.2,952,/nchs/pressroom/states/westvirginia/wv.htm
2019,Wisconsin,20.2,1548,/nchs/pressroom/states/wisconsin/wi.htm
2019,Wyoming,18.5,132,/nchs/pressroom/states/wyoming/wy.htm
2018,Alabama,19.4,1176,/nchs/pressroom/states/alabama/al.htm
2018,Alaska,17.7,122,/nchs/pressroom/states/alaska/ak.htm
2018,Arizona,22.4,2046,/nchs/pressroom/states/arizona/az.htm
2018,Arkansas,32.3,1194,/nchs/pressroom/states/arkansas/ar.htm
2018,California,21.4,9506,/nchs/pressroom/states/california/ca.htm
2018,Colorado,16.1,974,/nchs/pressroom/states/colorado/co.htm
2018,Connecticut,14.6,708,/nchs/pressroom/states/connecticut/ct.htm
2018,Delaware,18.8,238,/nchs/pressroom/states/delaware/de.htm
2018,Florida,19.8,6204,/nchs/pressroom/states/florida/fl.htm
2018,Georgia,22.1,2471,/nchs/pressroom/states/georgia/ga.htm
2018,Hawaii,16.1,316,/nchs/pressroom/states/hawaii/hi.htm
2018,Idaho,20.3,408,/nchs/pressroom/states/idaho/id.htm
2018,Illinois,18.6,2878,/nchs/pressroom/states/illinois/il.htm
2018,Indiana,26,2093,/nchs/pressroom/states/indiana/in.htm
2018,Iowa,21.9,898,/nchs/pressroom/states/iowa/ia.htm
2018,Kansas,22.6,803,/nchs/pressroom/states/kansas/ks.htm
2018,Kentucky,27.9,1506,/nchs/pressroom/states/kentucky/ky.htm
2018,Louisiana,26.9,1457,/nchs/pressroom/states/louisiana/la.htm
2018,Maine,23.4,478,/nchs/pressroom/states/maine/me.htm
2018,Maryland,19.6,1419,/nchs/pressroom/states/maryland/md.htm
2018,Massachusetts,15.8,1391,/nchs/pressroom/states/massachusetts/ma.htm
2018,Michigan,21.9,2824,/nchs/pressroom/states/michigan/mi.htm
2018,Minnesota,18.8,1308,/nchs/pressroom/states/minnesota/mn.htm
2018,Mississippi,30.6,1074,/nchs/pressroom/states/mississippi/ms.htm
2018,Missouri,20.8,1606,/nchs/pressroom/states/missouri/mo.htm
2018,Montana,19.1,267,/nchs/pressroom/states/montana/mt.htm
2018,Nebraska,26,596,/nchs/pressroom/states/nebraska/ne.htm
2018,Nevada,19.2,674,/nchs/pressroom/states/nevada/nv.htm
2018,New Hampshire,17.3,319,/nchs/pressroom/states/newhampshire/nh.htm
2018,New Jersey,16.6,1880,/nchs/pressroom/states/newjersey/nj.htm
2018,New Mexico,26.1,685,/nchs/pressroom/states/newmexico/nm.htm
2018,New York,18.2,4519,/nchs/pressroom/states/newyork/ny.htm
2018,North Carolina,23.9,3013,/nchs/pressroom/states/northcarolina/nc.htm
2018,North Dakota,24.1,214,/nchs/pressroom/states/northdakota/nd.htm
2018,Ohio,25.4,3845,/nchs/pressroom/states/ohio/oh.htm
2018,Oklahoma,29,1340,/nchs/pressroom/states/oklahoma/ok.htm
2018,Oregon,22.9,1224,/nchs/pressroom/states/oregon/or.htm
2018,Pennsylvania,20.2,3603,/nchs/pressroom/states/pennsylvania/pa.htm
2018,Rhode Island,17.2,249,/nchs/pressroom/states/rhodeisland/ri.htm
2018,South Carolina,24.8,1580,/nchs/pressroom/states/southcarolina/sc.htm
2018,South Dakota,23.3,252,/nchs/pressroom/states/southdakota/sd.htm
2018,Tennessee,24.5,2023,/nchs/pressroom/states/tennessee/tn.htm
2018,Texas,21.1,5991,/nchs/pressroom/states/texas/tx.htm
2018,Utah,23.5,629,/nchs/pressroom/states/utah/ut.htm
2018,Vermont,18.2,156,/nchs/pressroom/states/vermont/vt.htm
2018,Virginia,22.9,2286,/nchs/pressroom/states/virginia/va.htm
2018,Washington,20.4,1779,/nchs/pressroom/states/washington/wa.htm
2018,West Virginia,36.2,927,/nchs/pressroom/states/westvirginia/wv.htm
2018,Wisconsin,20.2,1508,/nchs/pressroom/states/wisconsin/wi.htm
2018,Wyoming,21.4,145,/nchs/pressroom/states/wyoming/wy.htm
2017,Alabama,19.8,"1,173",/nchs/pressroom/states/alabama/alabama.htm
2017,Alaska,19.3,130,/nchs/pressroom/states/alaska/alaska.htm
2017,Arizona,23.7,"2,054",/nchs/pressroom/states/arizona/arizona.htm
2017,Arkansas,32.4,"1,180",/nchs/pressroom/states/arkansas/arkansas.htm
2017,California,22.1,"9,595",/nchs/pressroom/states/california/california.htm
2017,Colorado,17.2,"1,017",/nchs/pressroom/states/colorado/colorado.htm
2017,Connecticut,14.5,694,/nchs/pressroom/states/connecticut/connecticut.htm
2017,Delaware,19.1,244,/nchs/pressroom/states/delaware/delaware.htm
2017,Florida,20.2,"6,172",/nchs/pressroom/states/florida/florida.htm
2017,Georgia,21.5,"2,348",/nchs/pressroom/states/georgia/georgia.htm
2017,Hawaii,15.9,299,/nchs/pressroom/states/hawaii/hawaii.htm
2017,Idaho,20.3,394,/nchs/pressroom/states/idaho/idaho.htm
2017,Illinois,19.2,"2,927",/nchs/pressroom/states/illinois/illinois.htm
2017,Indiana,26.6,"2,096",/nchs/pressroom/states/indiana/indiana.htm
2017,Iowa,22.8,918,/nchs/pressroom/states/iowa/iowa.htm
2017,Kansas,25.2,874,/nchs/pressroom/states/kansas/kansas.htm
2017,Kentucky,27.7,"1,474",/nchs/pressroom/states/kentucky/kentucky.htm
2017,Louisiana,23.9,"1,272",/nchs/pressroom/states/louisiana/louisiana.htm
2017,Maine,19.7,395,/nchs/pressroom/states/maine/maine.htm
2017,Maryland,20.3,"1,439",/nchs/pressroom/states/maryland/maryland.htm
2017,Massachusetts,15.1,"1,321",/nchs/pressroom/states/massachusetts/massachusetts.htm
2017,Michigan,22.1,"2,798",/nchs/pressroom/states/michigan/michigan.htm
2017,Minnesota,19.3,"1,312",/nchs/pressroom/states/minnesota/minnesota.htm
2017,Mississippi,33.3,"1,164",/nchs/pressroom/states/mississippi/mississippi.htm
2017,Missouri,21,"1,605",/nchs/pressroom/states/missouri/missouri.htm
2017,Montana,21.6,292,/nchs/pressroom/states/montana/montana.htm
2017,Nebraska,25,575,/nchs/pressroom/states/nebraska/nebraska.htm
2017,Nevada,18.3,609,/nchs/pressroom/states/nevada/nevada.htm
2017,New Hampshire,19.2,340,/nchs/pressroom/states/newhampshire/newhampshire.htm
2017,New Jersey,16.9,"1,908",/nchs/pressroom/states/newjersey/newjersey.htm
2017,New Mexico,26.5,673,/nchs/pressroom/states/newmexico/newmexico.htm
2017,New York,16.8,"4,176",/nchs/pressroom/states/newyork/newyork.htm
2017,North Carolina,23.6,"2,903",/nchs/pressroom/states/northcarolina/northcarolina.htm
2017,North Dakota,21.8,194,/nchs/pressroom/states/northdakota/northdakota.htm
2017,Ohio,25.2,"3,740",/nchs/pressroom/states/ohio/ohio.htm
2017,Oklahoma,30.6,"1,398",/nchs/pressroom/states/oklahoma/oklahoma.htm
2017,Oregon,23.9,"1,243",/nchs/pressroom/states/oregon/oregon.htm
2017,Pennsylvania,21,"3,704",/nchs/pressroom/states/pennsylvania/pennsylvania.htm
2017,Rhode Island,18.8,275,/nchs/pressroom/states/rhodeisland/rhodeisland.htm
2017,South Carolina,24.5,"1,535",/nchs/pressroom/states/southcarolina/southcarolina.htm
2017,South Dakota,24.9,263,/nchs/pressroom/states/southdakota/southdakota.htm
2017,Tennessee,24,"1,915",/nchs/pressroom/states/tenessee/tennessee.htm
2017,Texas,21.2,"5,832",/nchs/pressroom/states/texas/texas.htm
2017,Utah,22.9,596,/nchs/pressroom/states/utah/utah.htm
2017,Vermont,19.2,163,/nchs/pressroom/states/vermont/vermont.htm
2017,Virginia,20.1,"1,967",/nchs/pressroom/states/virginia/virginia.htm
2017,Washington,21.6,"1,812",/nchs/pressroom/states/washington/washington.htm
2017,West Virginia,34,864,/nchs/pressroom/states/westvirginia/westvirginia.htm
2017,Wisconsin,19.4,"1,433",/nchs/pressroom/states/wisconsin/wisconsin.htm
2017,Wyoming,18.1,121,/nchs/pressroom/states/wyoming/wyoming.htm
2016,Alabama,20.1,"1,183",/nchs/pressroom/states/alabama/alabama.htm
2016,Alaska,19.3,124,/nchs/pressroom/states/alaska/alaska.htm
2016,Arizona,23.9,"2,025",/nchs/pressroom/states/arizona/arizona.htm
2016,Arkansas,25.4,920,/nchs/pressroom/states/arkansas/arkansas.htm
2016,California,21.4,"9,124",/nchs/pressroom/states/california/california.htm
2016,Colorado,16.2,938,/nchs/pressroom/states/colorado/colorado.htm
2016,Connecticut,14.9,699,/nchs/pressroom/states/connecticut/connecticut.htm
2016,Delaware,17,203,/nchs/pressroom/states/delaware/delaware.htm
